Linux 4.18.0-348.23.1.el8_5.aarch64 (cna0146.deucalion.macc.fccn.pt) 	16/03/26 	_aarch64_	(48 CPU)

11:48:51      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:49:01        0      1450    0.20    0.00    0.00    0.00    0.20     0  NetworkManager
11:49:01      201      1723    1.00    0.20    0.00    0.00    1.20    29  telegraf
11:49:01        0      2657    0.00    0.20    0.00    0.00    0.20    22  kiblnd_sd_01_01
11:49:01        0      2701    0.00    0.20    0.00    0.00    0.20    27  ptlrpcd_02_06
11:49:01        0      2702    0.00    0.20    0.00    0.00    0.20    26  ptlrpcd_02_07
11:49:01        0      2717    0.00    0.20    0.00    0.00    0.20    46  ptlrpcd_03_10
11:49:01      901     70391    0.00    0.20    0.00    0.00    0.20    23  icinga2
11:49:01    30910    121285    0.40    1.00    0.00    0.00    1.40    15  pidstat
11:49:01    30910    121579    0.20    1.40    0.00    0.00    1.60    47  pidstat
11:49:01    30910    122103    1.00    0.80    0.00    0.00    1.80    16  pidstat
11:49:01    30910    124653    0.40    1.00    0.00    0.00    1.40     4  pidstat
11:49:01    30910    124654    1.00    0.40    0.00    0.00    1.40     8  python
11:49:01    30910    124655  271.00   10.20    0.00    0.00  281.20    24  java

11:48:56      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:49:01    30910    124653      2.60      0.00   23232   22016   0.07  pidstat
11:49:01    30910    124654     42.40      0.00  120384   37952   0.12  python
11:49:01    30910    124655    683.20      0.00 12510336  268608   0.82  java

11:49:01      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:49:06        0        11    0.00    0.20    0.00    0.00    0.20    16  rcu_sched
11:49:06        0      1424    4.00    2.40    0.00    0.00    6.40    26  node_exporter
11:49:06        0      1450    0.00    0.20    0.00    0.00    0.20     0  NetworkManager
11:49:06      201      1723    0.20    0.20    0.00    0.00    0.40    29  telegraf
11:49:06        0      2707    0.00    0.20    0.00    0.00    0.20    46  ptlrpcd_03_00
11:49:06        0     10851    0.00    0.20    0.00    0.00    0.20    23  ldlm_bl_10
11:49:06        0    116624    0.00    0.20    0.00    0.00    0.20    31  slurmstepd
11:49:06    30910    121285    0.60    1.20    0.00    0.00    1.80    15  pidstat
11:49:06    30910    121579    0.20    1.60    0.00    0.00    1.80    47  pidstat
11:49:06    30910    122103    0.40    1.20    0.00    0.00    1.60    16  pidstat
11:49:06        0    124107    0.20    0.00    0.00    0.00    0.20    11  kworker/u97:4-flush-lustre-ffff807f8c
11:49:06    30910    124653    0.60    1.40    0.00    0.00    2.00     4  pidstat
